Year,Value,Units
2003,23.9562657328075,%
2004,23.9562657328075,%
2005,41.4129818899751,%
2006,44.2008029040042,%
2007,44.90607707354079,%
2008,43.640096795566905,%
2009,41.7375095023106,%
2010,42.8563874887263,%
2011,43.3316157280503,%
2012,43.7502030221352,%
2013,42.6582565862232,%
2014,43.808720847713204,%
2015,43.151083898209706,%
2016,42.7014657297644,%
2017,42.9602093929945,%
2018,43.1099367097622,%
