Year,Units,Age,Sex,Value
2001,%,15+,,0.1
2001,%,15+,Male,0.1
2001,%,15+,Female,0.1
2001,%,15-24,,0.1
2001,%,15-24,Male,0.1
2001,%,15-24,Female,0.1
2001,%,25+,,0.1
2001,%,25+,Male,0.1
2001,%,25+,Female,0.1
2004,%,15+,,0.1
2004,%,15+,Male,0.1
2004,%,15+,Female,0.1
2004,%,15-24,,0.1
2004,%,15-24,Male,0.1
2004,%,15-24,Female,0.1
2004,%,25+,,0.1
2004,%,25+,Male,0.0
2004,%,25+,Female,0.1
2007,%,15+,,0.0
2007,%,15+,Male,0.0
2007,%,15+,Female,0.0
2007,%,15-24,,0.0
2007,%,15-24,Male,0.0
2007,%,15-24,Female,0.0
2007,%,25+,,0.0
2007,%,25+,Male,0.0
2007,%,25+,Female,0.0
2011,%,15+,,0.0
2011,%,15+,Male,0.0
2011,%,15+,Female,0.0
2011,%,15-24,,0.0
2011,%,15-24,Male,0.0
2011,%,15-24,Female,0.0
2011,%,25+,,0.0
2011,%,25+,Male,0.0
2011,%,25+,Female,50.0
