Year,Value,UNIT_MEASURE,SERIES
2006,0.38408000000000003,USD,"Total official flows for scholarships, by recipient countries"
2007,0.3329,USD,"Total official flows for scholarships, by recipient countries"
2008,0.8925299999999999,USD,"Total official flows for scholarships, by recipient countries"
2009,0.8848600000000001,USD,"Total official flows for scholarships, by recipient countries"
2010,1.2494299999999998,USD,"Total official flows for scholarships, by recipient countries"
2011,1.4480000000000002,USD,"Total official flows for scholarships, by recipient countries"
2012,1.59065,USD,"Total official flows for scholarships, by recipient countries"
2013,2.0950900000000003,USD,"Total official flows for scholarships, by recipient countries"
2014,1.9196099999999998,USD,"Total official flows for scholarships, by recipient countries"
2015,2.17373,USD,"Total official flows for scholarships, by recipient countries"
2016,1.74679,USD,"Total official flows for scholarships, by recipient countries"
2017,2.80534,USD,"Total official flows for scholarships, by recipient countries"
2018,4.06615,USD,"Total official flows for scholarships, by recipient countries"
